"chan1_id","sales2_id","sales1_id","dma1_id"
"Digital Radio-Speed Perk","AAP","Other","ORLANDO/DAYTONA/MELBOURNE-FL"
"Digital Radio-Speed Perk","AAP","Other","PHILADELPHIA-PA"
"Digital Radio-Speed Perk","AAP","Other","PITTSBURGH-PA"
"Digital Radio-Speed Perk","AAP","Other","PORTLAND-OR"
"Digital Radio-Speed Perk","AAP","Other","RALEIGH-NC"
"Digital Radio-Speed Perk","AAP","Other","SALT LAKE CITY-UT"
"Digital Radio-Speed Perk","AAP","Other","SAN ANTONIO-TX"
"Digital Radio-Speed Perk","AAP","Other","SEATTLE-WA"
"Digital Radio-Speed Perk","AAP","Other","ST. LOUIS-MO"
"Digital Radio-Speed Perk","AAP","Other","TAMPA/ST. PETE/LAKELAND-FL"
"Digital Radio-Speed Perk","AAP","Other","TRI-STATE-NY/NJ/CT"
"Digital Radio-Speed Perk","AAP","Other","WASHINGTON D.C."
"Digital Radio-Speed Perk","AAP","Parts","ALBUQUERQUE/SANTA FE-NM"
"Digital Radio-Speed Perk","AAP","Parts","ATLANTA-GA"
"Digital Radio-Speed Perk","AAP","Parts","AUSTIN-TX"
"Digital Radio-Speed Perk","AAP","Parts","BALTIMORE-MD"
"Digital Radio-Speed Perk","AAP","Parts","BIRMINGHAM-AL"
"Digital Radio-Speed Perk","AAP","Parts","BOSTON-MA"
"Digital Radio-Speed Perk","AAP","Parts","CHARLOTTE-NC"
"Digital Radio-Speed Perk","AAP","Parts","CHICAGO-IL"
"Digital Radio-Speed Perk","AAP","Parts","DALLAS-TX"
"Digital Radio-Speed Perk","AAP","Parts","DENVER-CO"
"Digital Radio-Speed Perk","AAP","Parts","DETROIT-MI"
"Digital Radio-Speed Perk","AAP","Parts","HARRISBURG/LANCASTER-PA"
"Digital Radio-Speed Perk","AAP","Parts","HOUSTON-TX"
"Digital Radio-Speed Perk","AAP","Parts","INDIANAPOLIS-IN"
"Digital Radio-Speed Perk","AAP","Parts","MIAMI/FT. LAUDERDALE-FL"
"Digital Radio-Speed Perk","AAP","Parts","MILWAUKEE-WI"
"Digital Radio-Speed Perk","AAP","Parts","NEW HAVEN/HARTFORD-CT"
"Digital Radio-Speed Perk","AAP","Parts","National"
"Digital Radio-Speed Perk","AAP","Parts","ORLANDO/DAYTONA/MELBOURNE-FL"
"Digital Radio-Speed Perk","AAP","Parts","PHILADELPHIA-PA"
"Digital Radio-Speed Perk","AAP","Parts","PITTSBURGH-PA"
"Digital Radio-Speed Perk","AAP","Parts","PORTLAND-OR"
"Digital Radio-Speed Perk","AAP","Parts","RALEIGH-NC"
"Digital Radio-Speed Perk","AAP","Parts","SALT LAKE CITY-UT"
"Digital Radio-Speed Perk","AAP","Parts","SAN ANTONIO-TX"
"Digital Radio-Speed Perk","AAP","Parts","SEATTLE-WA"
"Digital Radio-Speed Perk","AAP","Parts","ST. LOUIS-MO"
"Digital Radio-Speed Perk","AAP","Parts","TAMPA/ST. PETE/LAKELAND-FL"
"Digital Radio-Speed Perk","AAP","Parts","TRI-STATE-NY/NJ/CT"
"Digital Radio-Speed Perk","AAP","Parts","WASHINGTON D.C."
"Direct Mail","AAP","Other","National"
"Direct Mail","AAP","Parts","National"
"Display","AAP","Batteries","National"
"Display","AAP","Other","National"
"Display","AAP","Parts","National"
"Generic Search - Batteries","AAP","Batteries","National"
"Generic Search - Batteries","AAP","Other","National"
"Generic Search - Brakes","AAP","Brakes","National"
"Generic Search - Other","AAP","Brakes","National"
"Generic Search - Other","AAP","Oil","National"
"Generic Search - Other","AAP","Other","National"
"Generic Search - Other","AAP","Parts","National"
"Mobil Oil - Direct Mail","Mobil","Oil","National"
