"bdgt_id","dma1_name","chan1_name","client_id","chan1_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"180_1_40",NULL,NULL,25,180,1,40,NULL,NULL,NULL
"180_1_41",NULL,NULL,25,180,1,41,NULL,NULL,NULL
"180_1_42",NULL,NULL,25,180,1,42,NULL,NULL,NULL
"180_1_43",NULL,NULL,25,180,1,43,NULL,NULL,NULL
"180_1_44",NULL,NULL,25,180,1,44,NULL,NULL,NULL
"180_1_45",NULL,NULL,25,180,1,45,NULL,NULL,NULL
"180_1_46",NULL,NULL,25,180,1,46,NULL,NULL,NULL
"180_1_47",NULL,NULL,25,180,1,47,NULL,NULL,NULL
"180_1_48",NULL,NULL,25,180,1,48,NULL,NULL,NULL
"180_1_49",NULL,NULL,25,180,1,49,NULL,NULL,NULL
"180_1_5",NULL,NULL,25,180,1,5,NULL,NULL,NULL
"180_1_50",NULL,NULL,25,180,1,50,NULL,NULL,NULL
"180_1_51",NULL,NULL,25,180,1,51,NULL,NULL,NULL
"180_1_52",NULL,NULL,25,180,1,52,NULL,NULL,NULL
"180_1_53",NULL,NULL,25,180,1,53,NULL,NULL,NULL
"180_1_6",NULL,NULL,25,180,1,6,NULL,NULL,NULL
"180_1_7",NULL,NULL,25,180,1,7,NULL,NULL,NULL
"180_1_8",NULL,NULL,25,180,1,8,NULL,NULL,NULL
"180_1_9",NULL,NULL,25,180,1,9,NULL,NULL,NULL
"181_1_0",NULL,NULL,25,181,1,0,NULL,NULL,NULL
"181_1_1",NULL,NULL,25,181,1,1,NULL,NULL,NULL
"181_1_10",NULL,NULL,25,181,1,10,NULL,NULL,NULL
"181_1_11",NULL,NULL,25,181,1,11,NULL,NULL,NULL
"181_1_12",NULL,NULL,25,181,1,12,NULL,NULL,NULL
"181_1_13",NULL,NULL,25,181,1,13,NULL,NULL,NULL
"181_1_14",NULL,NULL,25,181,1,14,NULL,NULL,NULL
"181_1_15",NULL,NULL,25,181,1,15,NULL,NULL,NULL
"181_1_16",NULL,NULL,25,181,1,16,NULL,NULL,NULL
"181_1_17",NULL,NULL,25,181,1,17,NULL,NULL,NULL
"181_1_18",NULL,NULL,25,181,1,18,NULL,NULL,NULL
"181_1_19",NULL,NULL,25,181,1,19,NULL,NULL,NULL
"181_1_2",NULL,NULL,25,181,1,2,NULL,NULL,NULL
"181_1_20",NULL,NULL,25,181,1,20,NULL,NULL,NULL
"181_1_21",NULL,NULL,25,181,1,21,NULL,NULL,NULL
"181_1_22",NULL,NULL,25,181,1,22,NULL,NULL,NULL
"181_1_23",NULL,NULL,25,181,1,23,NULL,NULL,NULL
"181_1_24",NULL,NULL,25,181,1,24,NULL,NULL,NULL
"181_1_25",NULL,NULL,25,181,1,25,NULL,NULL,NULL
"181_1_26",NULL,NULL,25,181,1,26,NULL,NULL,NULL
"181_1_27",NULL,NULL,25,181,1,27,NULL,NULL,NULL
"181_1_28",NULL,NULL,25,181,1,28,NULL,NULL,NULL
"181_1_29",NULL,NULL,25,181,1,29,NULL,NULL,NULL
"181_1_3",NULL,NULL,25,181,1,3,NULL,NULL,NULL
"181_1_30",NULL,NULL,25,181,1,30,NULL,NULL,NULL
"181_1_31",NULL,NULL,25,181,1,31,NULL,NULL,NULL
"181_1_32",NULL,NULL,25,181,1,32,NULL,NULL,NULL
"181_1_33",NULL,NULL,25,181,1,33,NULL,NULL,NULL
"181_1_34",NULL,NULL,25,181,1,34,NULL,NULL,NULL
"181_1_35",NULL,NULL,25,181,1,35,NULL,NULL,NULL
"181_1_36",NULL,NULL,25,181,1,36,NULL,NULL,NULL
"181_1_37",NULL,NULL,25,181,1,37,NULL,NULL,NULL
"181_1_38",NULL,NULL,25,181,1,38,NULL,NULL,NULL
"181_1_39",NULL,NULL,25,181,1,39,NULL,NULL,NULL
"181_1_4",NULL,NULL,25,181,1,4,NULL,NULL,NULL
"181_1_40",NULL,NULL,25,181,1,40,NULL,NULL,NULL
"181_1_41",NULL,NULL,25,181,1,41,NULL,NULL,NULL
"181_1_42",NULL,NULL,25,181,1,42,NULL,NULL,NULL
"181_1_43",NULL,NULL,25,181,1,43,NULL,NULL,NULL
"181_1_44",NULL,NULL,25,181,1,44,NULL,NULL,NULL
"181_1_45",NULL,NULL,25,181,1,45,NULL,NULL,NULL
"181_1_46",NULL,NULL,25,181,1,46,NULL,NULL,NULL
"181_1_47",NULL,NULL,25,181,1,47,NULL,NULL,NULL
"181_1_48",NULL,NULL,25,181,1,48,NULL,NULL,NULL
"181_1_49",NULL,NULL,25,181,1,49,NULL,NULL,NULL
"181_1_5",NULL,NULL,25,181,1,5,NULL,NULL,NULL
"181_1_50",NULL,NULL,25,181,1,50,NULL,NULL,NULL
"181_1_51",NULL,NULL,25,181,1,51,NULL,NULL,NULL
"181_1_52",NULL,NULL,25,181,1,52,NULL,NULL,NULL
"181_1_53",NULL,NULL,25,181,1,53,NULL,NULL,NULL
"181_1_6",NULL,NULL,25,181,1,6,NULL,NULL,NULL
"181_1_7",NULL,NULL,25,181,1,7,NULL,NULL,NULL
"181_1_8",NULL,NULL,25,181,1,8,NULL,NULL,NULL
"181_1_9",NULL,NULL,25,181,1,9,NULL,NULL,NULL
"182_1_0",NULL,NULL,25,182,1,0,NULL,NULL,NULL
"182_1_1",NULL,NULL,25,182,1,1,NULL,NULL,NULL
"182_1_10",NULL,NULL,25,182,1,10,NULL,NULL,NULL
"182_1_11",NULL,NULL,25,182,1,11,NULL,NULL,NULL
"182_1_12",NULL,NULL,25,182,1,12,NULL,NULL,NULL
"182_1_13",NULL,NULL,25,182,1,13,NULL,NULL,NULL
"182_1_14",NULL,NULL,25,182,1,14,NULL,NULL,NULL
"182_1_15",NULL,NULL,25,182,1,15,NULL,NULL,NULL
"182_1_16",NULL,NULL,25,182,1,16,NULL,NULL,NULL
"182_1_17",NULL,NULL,25,182,1,17,NULL,NULL,NULL
"182_1_18",NULL,NULL,25,182,1,18,NULL,NULL,NULL
"182_1_19",NULL,NULL,25,182,1,19,NULL,NULL,NULL
"182_1_2",NULL,NULL,25,182,1,2,NULL,NULL,NULL
"182_1_20",NULL,NULL,25,182,1,20,NULL,NULL,NULL
"182_1_21",NULL,NULL,25,182,1,21,NULL,NULL,NULL
"182_1_22",NULL,NULL,25,182,1,22,NULL,NULL,NULL
"182_1_23",NULL,NULL,25,182,1,23,NULL,NULL,NULL
"182_1_24",NULL,NULL,25,182,1,24,NULL,NULL,NULL
"182_1_25",NULL,NULL,25,182,1,25,NULL,NULL,NULL
"182_1_26",NULL,NULL,25,182,1,26,NULL,NULL,NULL
"182_1_27",NULL,NULL,25,182,1,27,NULL,NULL,NULL
"182_1_28",NULL,NULL,25,182,1,28,NULL,NULL,NULL
"182_1_29",NULL,NULL,25,182,1,29,NULL,NULL,NULL
"182_1_3",NULL,NULL,25,182,1,3,NULL,NULL,NULL
"182_1_30",NULL,NULL,25,182,1,30,NULL,NULL,NULL
"182_1_31",NULL,NULL,25,182,1,31,NULL,NULL,NULL
"182_1_32",NULL,NULL,25,182,1,32,NULL,NULL,NULL
"182_1_33",NULL,NULL,25,182,1,33,NULL,NULL,NULL
"182_1_34",NULL,NULL,25,182,1,34,NULL,NULL,NULL
"182_1_35",NULL,NULL,25,182,1,35,NULL,NULL,NULL
"182_1_36",NULL,NULL,25,182,1,36,NULL,NULL,NULL
"182_1_37",NULL,NULL,25,182,1,37,NULL,NULL,NULL
"182_1_38",NULL,NULL,25,182,1,38,NULL,NULL,NULL
"182_1_39",NULL,NULL,25,182,1,39,NULL,NULL,NULL
"182_1_4",NULL,NULL,25,182,1,4,NULL,NULL,NULL
"182_1_40",NULL,NULL,25,182,1,40,NULL,NULL,NULL
"182_1_41",NULL,NULL,25,182,1,41,NULL,NULL,NULL
"182_1_42",NULL,NULL,25,182,1,42,NULL,NULL,NULL
"182_1_43",NULL,NULL,25,182,1,43,NULL,NULL,NULL
"182_1_44",NULL,NULL,25,182,1,44,NULL,NULL,NULL
"182_1_45",NULL,NULL,25,182,1,45,NULL,NULL,NULL
"182_1_46",NULL,NULL,25,182,1,46,NULL,NULL,NULL
"182_1_47",NULL,NULL,25,182,1,47,NULL,NULL,NULL
"182_1_48",NULL,NULL,25,182,1,48,NULL,NULL,NULL
"182_1_49",NULL,NULL,25,182,1,49,NULL,NULL,NULL
"182_1_5",NULL,NULL,25,182,1,5,NULL,NULL,NULL
"182_1_50",NULL,NULL,25,182,1,50,NULL,NULL,NULL
"182_1_51",NULL,NULL,25,182,1,51,NULL,NULL,NULL
"182_1_52",NULL,NULL,25,182,1,52,NULL,NULL,NULL
"182_1_53",NULL,NULL,25,182,1,53,NULL,NULL,NULL
"182_1_6",NULL,NULL,25,182,1,6,NULL,NULL,NULL
"182_1_7",NULL,NULL,25,182,1,7,NULL,NULL,NULL
"182_1_8",NULL,NULL,25,182,1,8,NULL,NULL,NULL
"182_1_9",NULL,NULL,25,182,1,9,NULL,NULL,NULL
"183_1_0",NULL,NULL,25,183,1,0,NULL,NULL,NULL
"183_1_1",NULL,NULL,25,183,1,1,NULL,NULL,NULL
"183_1_10",NULL,NULL,25,183,1,10,NULL,NULL,NULL
