all_name,dma1_name,sales1_name,sales2_name,chan1_name,max,cpp,hl,hrf,wks, beta ,curvegroup_name
overall,National,Oil,Vavoline,Valvoline Oil - Radio,100,2969,0.3,0.45,1,551434,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Batteries,AAP,Terrestial Radio-Speed Perk,200,32.76928571,4,0.15,1,17,weekly
overall,ATLANTA-GA,Batteries,AAP,Terrestial Radio-Speed Perk,200,213.3795699,4,0.15,1,3718,weekly
overall,AUSTIN-TX,Batteries,AAP,Terrestial Radio-Speed Perk,200,108.976,4,0.15,1,656,weekly
overall,BALTIMORE-MD,Batteries,AAP,Terrestial Radio-Speed Perk,200,100.593007,4,0.15,1,1328,weekly
overall,BIRMINGHAM-AL,Batteries,AAP,Terrestial Radio-Speed Perk,200,45.72413793,4,0.15,1,1187,weekly
overall,BOSTON-MA,Batteries,AAP,Terrestial Radio-Speed Perk,200,222.3681713,4,0.15,1,1358,weekly
overall,CHARLOTTE-NC,Batteries,AAP,Terrestial Radio-Speed Perk,200,83.06571429,4,0.15,1,2149,weekly
overall,CHICAGO-IL,Batteries,AAP,Terrestial Radio-Speed Perk,200,272.0589744,4,0.15,1,1479,weekly
overall,DALLAS-TX,Batteries,AAP,Terrestial Radio-Speed Perk,200,236.9065687,4,0.15,1,925,weekly
overall,DENVER-CO,Batteries,AAP,Terrestial Radio-Speed Perk,200,99.83121951,4,0.15,1,1188,weekly
overall,DETROIT-MI,Batteries,AAP,Terrestial Radio-Speed Perk,200,89.16236559,4,0.15,1,647,weekly
overall,HARRISBURG/LANCASTER-PA,Batteries,AAP,Terrestial Radio-Speed Perk,200,55.68024801,4,0.15,1,1093,weekly
overall,NEW HAVEN/HARTFORD-CT,Batteries,AAP,Terrestial Radio-Speed Perk,200,69.35301205,4,0.15,1,991,weekly
overall,HOUSTON-TX,Batteries,AAP,Terrestial Radio-Speed Perk,200,220.378655,4,0.15,1,1411,weekly
overall,INDIANAPOLIS-IN,Batteries,AAP,Terrestial Radio-Speed Perk,200,87.63803681,4,0.15,1,598,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Batteries,AAP,Terrestial Radio-Speed Perk,200,160.4176656,4,0.15,1,4378,weekly
overall,MILWAUKEE-WI,Batteries,AAP,Terrestial Radio-Speed Perk,200,84.58924731,4,0.15,1,427,weekly
overall,TRI-STATE-NY/NJ/CT,Batteries,AAP,Terrestial Radio-Speed Perk,200,345.9797101,4,0.15,1,3340,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Batteries,AAP,Terrestial Radio-Speed Perk,200,86.876,4,0.15,1,3075,weekly
overall,PHILADELPHIA-PA,Batteries,AAP,Terrestial Radio-Speed Perk,200,153.3914591,4,0.15,1,2105,weekly
overall,PITTSBURGH-PA,Batteries,AAP,Terrestial Radio-Speed Perk,200,50.29666667,4,0.15,1,1817,weekly
overall,PORTLAND-OR,Batteries,AAP,Terrestial Radio-Speed Perk,200,97.79054498,4,0.15,1,185,weekly
overall,RALEIGH-NC,Batteries,AAP,Terrestial Radio-Speed Perk,200,56.72316951,4,0.15,1,2112,weekly
overall,SALT LAKE CITY-UT,Batteries,AAP,Terrestial Radio-Speed Perk,200,65.61376344,4,0.15,1,185,weekly
overall,SAN ANTONIO-TX,Batteries,AAP,Terrestial Radio-Speed Perk,200,79.62943723,4,0.15,1,560,weekly
overall,SEATTLE-WA,Batteries,AAP,Terrestial Radio-Speed Perk,200,179.9389616,4,0.15,1,185,weekly
overall,ST. LOUIS-MO,Batteries,AAP,Terrestial Radio-Speed Perk,200,97.74715909,4,0.15,1,498,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Batteries,AAP,Terrestial Radio-Speed Perk,200,70.05411197,4,0.15,1,3945,weekly
overall,WASHINGTON D.C.,Batteries,AAP,Terrestial Radio-Speed Perk,200,233.9553571,4,0.15,1,3646,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Brakes,AAP,Terrestial Radio-Speed Perk,200,32.76928571,4,0.15,1,81,weekly
overall,ATLANTA-GA,Brakes,AAP,Terrestial Radio-Speed Perk,200,213.3795699,4,0.15,1,12458,weekly
overall,AUSTIN-TX,Brakes,AAP,Terrestial Radio-Speed Perk,200,108.976,4,0.15,1,1893,weekly
overall,BALTIMORE-MD,Brakes,AAP,Terrestial Radio-Speed Perk,200,100.593007,4,0.15,1,9241,weekly
overall,BIRMINGHAM-AL,Brakes,AAP,Terrestial Radio-Speed Perk,200,45.72413793,4,0.15,1,3930,weekly
overall,BOSTON-MA,Brakes,AAP,Terrestial Radio-Speed Perk,200,222.3681713,4,0.15,1,11006,weekly
overall,CHARLOTTE-NC,Brakes,AAP,Terrestial Radio-Speed Perk,200,83.06571429,4,0.15,1,6281,weekly
overall,CHICAGO-IL,Brakes,AAP,Terrestial Radio-Speed Perk,200,272.0589744,4,0.15,1,13979,weekly
overall,DALLAS-TX,Brakes,AAP,Terrestial Radio-Speed Perk,200,236.9065687,4,0.15,1,4285,weekly
overall,DENVER-CO,Brakes,AAP,Terrestial Radio-Speed Perk,200,99.83121951,4,0.15,1,4478,weekly
overall,DETROIT-MI,Brakes,AAP,Terrestial Radio-Speed Perk,200,89.16236559,4,0.15,1,4743,weekly
overall,HARRISBURG/LANCASTER-PA,Brakes,AAP,Terrestial Radio-Speed Perk,200,55.68024801,4,0.15,1,6833,weekly
overall,NEW HAVEN/HARTFORD-CT,Brakes,AAP,Terrestial Radio-Speed Perk,200,69.35301205,4,0.15,1,8066,weekly
overall,HOUSTON-TX,Brakes,AAP,Terrestial Radio-Speed Perk,200,220.378655,4,0.15,1,4207,weekly
overall,INDIANAPOLIS-IN,Brakes,AAP,Terrestial Radio-Speed Perk,200,87.63803681,4,0.15,1,4060,weekly
overall,MIAMI/FT. LAUDERDALE-FL,Brakes,AAP,Terrestial Radio-Speed Perk,200,160.4176656,4,0.15,1,8978,weekly
overall,MILWAUKEE-WI,Brakes,AAP,Terrestial Radio-Speed Perk,200,84.58924731,4,0.15,1,5720,weekly
overall,TRI-STATE-NY/NJ/CT,Brakes,AAP,Terrestial Radio-Speed Perk,200,345.9797101,4,0.15,1,20663,weekly
overall,ORLANDO/DAYTONA/MELBOURNE-FL,Brakes,AAP,Terrestial Radio-Speed Perk,200,86.876,4,0.15,1,8299,weekly
overall,PHILADELPHIA-PA,Brakes,AAP,Terrestial Radio-Speed Perk,200,153.3914591,4,0.15,1,14473,weekly
overall,PITTSBURGH-PA,Brakes,AAP,Terrestial Radio-Speed Perk,200,50.29666667,4,0.15,1,13823,weekly
overall,PORTLAND-OR,Brakes,AAP,Terrestial Radio-Speed Perk,200,97.79054498,4,0.15,1,857,weekly
overall,RALEIGH-NC,Brakes,AAP,Terrestial Radio-Speed Perk,200,56.72316951,4,0.15,1,5921,weekly
overall,SALT LAKE CITY-UT,Brakes,AAP,Terrestial Radio-Speed Perk,200,65.61376344,4,0.15,1,857,weekly
overall,SAN ANTONIO-TX,Brakes,AAP,Terrestial Radio-Speed Perk,200,79.62943723,4,0.15,1,1622,weekly
overall,SEATTLE-WA,Brakes,AAP,Terrestial Radio-Speed Perk,200,179.9389616,4,0.15,1,857,weekly
overall,ST. LOUIS-MO,Brakes,AAP,Terrestial Radio-Speed Perk,200,97.74715909,4,0.15,1,2475,weekly
overall,TAMPA/ST. PETE/LAKELAND-FL,Brakes,AAP,Terrestial Radio-Speed Perk,200,70.05411197,4,0.15,1,10540,weekly
overall,WASHINGTON D.C.,Brakes,AAP,Terrestial Radio-Speed Perk,200,233.9553571,4,0.15,1,19845,weekly
overall,ALBUQUERQUE/SANTA FE-NM,Other,AAP,Terrestial Radio-Speed Perk,200,32.76928571,4,0.15,1,297,weekly
overall,ATLANTA-GA,Other,AAP,Terrestial Radio-Speed Perk,200,213.3795699,4,0.15,1,33527,weekly
overall,AUSTIN-TX,Other,AAP,Terrestial Radio-Speed Perk,200,108.976,4,0.15,1,5605,weekly
overall,BALTIMORE-MD,Other,AAP,Terrestial Radio-Speed Perk,200,100.593007,4,0.15,1,15681,weekly
overall,BIRMINGHAM-AL,Other,AAP,Terrestial Radio-Speed Perk,200,45.72413793,4,0.15,1,9737,weekly
